"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-01,NA,"D5","TM",9.2
2024-01-01,"14:31:00","D5","TX",14.2
2024-01-01,"06:35:00","D5","TN",7.3
2024-01-01,NA,"D5","HRM",73
2024-01-01,"18:55:00","D5","HRX",95
2024-01-01,"12:42:00","D5","HRN",48
2024-01-01,NA,"D5","PM",970.4
2024-01-01,"21:21:00","D5","PX",972.6
2024-01-01,"04:30:00","D5","PN",968.5
2024-01-01,NA,"D5","PPT",0
2024-01-01,NA,"D5","RS24h",6.7
2024-01-01,NA,"D5","VVM10",2.6
2024-01-01,NA,"D5","DVM10",270
2024-01-01,"23:39:00","D5","VVX10",8.7
2024-01-01,"23:39:00","D5","DVVX10",272
2024-01-01,NA,"X2","TM",9.7
2024-01-01,"13:52:00","X2","TX",13.5
2024-01-01,"22:37:00","X2","TN",6.8
2024-01-01,NA,"X2","HRM",79
2024-01-01,"22:36:00","X2","HRX",89
2024-01-01,"12:08:00","X2","HRN",59
2024-01-01,NA,"X4","TM",11.6
2024-01-01,"12:10:00","X4","TX",14
2024-01-01,"23:51:00","X4","TN",9.8
2024-01-01,NA,"X4","HRM",64
2024-01-01,"17:02:00","X4","HRX",74
2024-01-01,"22:36:00","X4","HRN",53
2024-01-01,NA,"X4","PM",1015.5
2024-01-01,"21:45:00","X4","PX",1017.8
2024-01-01,"04:30:00","X4","PN",1013.5
2024-01-01,NA,"X4","PPT",0
2024-01-01,NA,"X4","RS24h",6.5
2024-01-01,NA,"X4","VVM10",0.9
2024-01-01,NA,"X4","DVM10",251
2024-01-01,"22:23:00","X4","VVX10",3.7
2024-01-01,"22:23:00","X4","DVVX10",316
2024-01-01,NA,"X8","TM",10.1
2024-01-01,"12:47:00","X8","TX",15.3
2024-01-01,"21:10:00","X8","TN",7.6
2024-01-01,NA,"X8","HRM",67
2024-01-01,"01:32:00","X8","HRX",85
2024-01-01,"13:01:00","X8","HRN",41
2024-01-01,NA,"X8","PM",1009.6
2024-01-01,"21:30:00","X8","PX",1011.9
2024-01-01,"04:30:00","X8","PN",1007.6
2024-01-01,NA,"X8","PPT",0
2024-01-01,NA,"X8","RS24h",6.2
2024-01-01,NA,"X8","VVM10",1.3
2024-01-01,NA,"X8","DVM10",284
2024-01-01,"04:56:00","X8","VVX10",5.6
2024-01-01,"04:56:00","X8","DVVX10",286
2024-01-02,NA,"D5","TM",10.1
2024-01-02,"10:57:00","D5","TX",13.7
2024-01-02,"07:19:00","D5","TN",6.6
2024-01-02,NA,"D5","HRM",48
2024-01-02,"01:36:00","D5","HRX",60
2024-01-02,"15:15:00","D5","HRN",35
2024-01-02,NA,"D5","PM",968.6
2024-01-02,"00:05:00","D5","PX",971.5
2024-01-02,"23:59:00","D5","PN",966.1
2024-01-02,NA,"D5","PPT",0
2024-01-02,NA,"D5","RS24h",5.2
2024-01-02,NA,"D5","VVM10",4.4
2024-01-02,NA,"D5","DVM10",256
2024-01-02,"03:24:00","D5","VVX10",11.7
2024-01-02,"03:24:00","D5","DVVX10",269
2024-01-02,NA,"X2","TM",11.2
2024-01-02,"16:00:00","X2","TX",15.9
2024-01-02,"04:01:00","X2","TN",5.7
2024-01-02,NA,"X2","HRM",58
2024-01-02,"02:20:00","X2","HRX",87
2024-01-02,"15:59:00","X2","HRN",29
2024-01-02,NA,"X4","TM",12.9
2024-01-02,"16:00:00","X4","TX",15.9
2024-01-02,"04:24:00","X4","TN",8.7
2024-01-02,NA,"X4","HRM",45
2024-01-02,"00:12:00","X4","HRX",60
2024-01-02,"15:55:00","X4","HRN",27
2024-01-02,NA,"X4","PM",1013.7
2024-01-02,"00:00:00","X4","PX",1016.9
2024-01-02,"23:58:00","X4","PN",1011.2
2024-01-02,NA,"X4","PPT",0
2024-01-02,NA,"X4","RS24h",5.3
2024-01-02,NA,"X4","VVM10",1.6
2024-01-02,NA,"X4","DVM10",259
2024-01-02,"18:49:00","X4","VVX10",8.9
2024-01-02,"18:49:00","X4","DVVX10",296
2024-01-02,NA,"X8","TM",12.4
2024-01-02,"11:52:00","X8","TX",16.2
2024-01-02,"03:34:00","X8","TN",7.4
2024-01-02,NA,"X8","HRM",43
2024-01-02,"00:32:00","X8","HRX",59
2024-01-02,"15:31:00","X8","HRN",28
2024-01-02,NA,"X8","PM",1007.9
2024-01-02,"00:00:00","X8","PX",1011
